IDD;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;Einheitstitel;Alternativtitel;Umfang;Format;Sprache;Anmerkung;USTC_Subject;Verfasser_a;GND_a;Titel_a;Verfasser_b;GND_b;Titel_b;Verfasser_c;GND_c;Titel_c;anmerkung_ort;Druckort;gnd_Ort;Land;gnd_Land;anmerkung_ort_b;Druckort_b;gnd_Ort_b;Land_b;gnd_Land_b
IDD-032;null;null;null;null;null;209151;Schreckenberg III (1994) 356-357. Floerken 22-23. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 2472. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85644;Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis;Victoria adversus impios Hebraeos, in qua monstratur veritas Catholicae fidei;null;2°;Latein;"Streitschrift, Kontroversschrift. Vorlage Raymundus Martinus. eigene Hebräischkenntnisse und Quelleneinsicht. ""Den Titel Sieg übernahm er von einem jüdischen Werk antichristlicher Polemik, das kurz zuvor verfasst worden war, dem Sefer Nizzachon (??? ?????? – „Buch des Siegs“)"" (Wikipedia, Quelle: Hanne Trautner-Kromann: Shield and Sword: Jewish Polemics Against Christianity and the Christians in France and Spain from 1100–1500. Tübingen 1993, S. 102)";null;Richard Fitzralph;119373998;Summa in questionibus armenorum;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-033;null;null;null;null;null;210027;Schreckenberg III (1994) 395. USTC Bibliographic References: Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 314. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 84239;Summa in questionibus armenorum;Summa in questionibus Armenorum noviter impressa et correcta, cum aliquibus sermonibus;ff. Clxxvii;2°;Latein;"darin seine kleine Schrift ""De inventionibus Iudaeorum"". USTC 203036 = USTC 210027 ?";null;Vittore Porchetto de' Salvatici;100251420;Victoria autoris adversus impios Hebraeos, in qua tum ex sacris literis, tum ex dictis Talmud ac Caballistarum ... monstratur veritas catholice fidei. Ex recognitione Aug. Justiniani episcopi Nebiensis;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-034;null;null;null;null;null;344420;Schreckenberg III (1994) 356-357. Floerken 22-23. Alexander Wilkinson, IB: Books Published in Spanish or Portugese or printed on the Iberian Peninsula before 1601, Reference: 17146;Victoria autoris adversus impios Hebraeos, in qua tum ex sacris literis, tum ex dictis Talmud ac Caballistarum ... monstratur veritas catholice fidei. Ex recognitione Aug. Justiniani episcopi Nebiensis;Victoria adversus impios Hebraeos, in qua monstratur veritas catholicae fidei (USTC);[ff. 94];2°;Latein;"Streitschrift, Kontroversschrift. Vorlage Raymundus Martinus. eigene Hebräischkenntnisse und Quelleneinsicht. ""Den Titel Sieg übernahm er von einem jüdischen Werk antichristlicher Polemik, das kurz zuvor verfasst worden war, dem Sefer Nizzachon (??? ?????? – „Buch des Siegs“)"" (Wikipedia, Quelle: Hanne Trautner-Kromann: Shield and Sword: Jewish Polemics Against Christianity and the Christians in France and Spain from 1100–1500. Tübingen 1993, S. 102). zum Exemplar der Badischen Landesbibliothek: Handexemplar von Martin Luther. - Randnotizen u.a. von Martin Luther, Heinrich Moller und Hermann von der Hardt. Vorlageform des Erscheinungsvermerks: Egidii Gourmo[n]tij & Francisci Regnault commorantium Parrhisijs in via Jacobea, Anno Domini. 1520. 2. Jdus Juli. USTC: ""Guillermus Desplains expensis Egidio de Gourmont et François Regnault""";Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Paris;4044660-8;Frankreich;XA-FR;null;null;null;null;null
IDD-035;null;null;null;null;null;347803;Schreckenberg III (1994) 391-393. USTC-Bibliographic References: María Marsá, Materiales para una historia de la imprenta en Valladolid (siglos XVI y XVII), Reference: no. 42. Julián Martín Abad, Post-Incunables Ibéricos, Reference: no. 1380. Frederick John Norton, A descriptive catalogue of printing in Spain and Portugal, 1501-1520, Reference: no. 1307. Alexander Wilkinson, IB: Books Published in Spanish or Portugese or printed on the Iberian Peninsula before 1601, Reference: no. 17149 [https://iberian.ucd.ie/view/iberian:16143];(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Las epistolas enviadas a Rabi Isaac, dotor y maestro de la sinagoga que esta en la subjulmeta en el reino susodicho;null;4°;Spanisch;Übersetzung ins Spanische. verloren;Religious;Flavius ??Magnus Aurelius Cassiodorus;118519514;(1) De Salute animae (Turrecremata). (2) Constantii imperatoris et Liberii pape pro defensione Athanasii dialogus (Cassiodorus). (3) Historia Ecclesiastica Tripartita (Cassiodorus);null;null;null;null;null;null;null;Valladolid;4119355-6;Spanien;XA-ES;null;null;null;null;null
IDD-036;8246;id00136000;D-97;null;null;435213;Short Title Catalogue Netherlands, Reference: 102384053. Andrew Pettegree and Malcolm Walsby, Netherlandish Books (NB): Books published in the Low Countries and in the Dutch language abroad before 1601, Reference: 9505;Defensorium fidei dialogos septem contra Judaeos, haereticos et Sarracenos continens. De salute animae. Historia ecclesiastica tripartita;"Defensorium fidei dialogos septem contra Judaeos, haereticos et Sarracenos continens. Add: Johannes de Turrecremata: De Salute animae; Cassiodorus (Historia ecclesiastica tripartita, Lib. V, cap. 17-18:) Constantii imperatoris et Liberii pape pro defensione Athanasii dialogus.";ff. (80);2°;Latein;"Signaturen (a-k8); Sammelwerk; UB Utrecht: ""Van de incunabel 'Defensorium fidei dialogos septem contra Judaeos, haereticos et Sarracenos continens' uit 1474 zijn behoorlijk wat exemplaren overgeleverd. De Incunable Short Title Catalogue (ISTC) noemt er wereldwijd zeker dertig, waarvan een tiental in Nederland. De Universiteitsbibliotheek Utrecht is met vier exemplaren bijzonder goed vertegenwoordigd, maar dat hoeft op zich geen verwondering te wekken gezien de Utrechtse herkomst en het feit dat in 1580 de plaatselijke kloosterbibliotheken geconfisceerd werden (zie de provenances van exemplaren van de incunabel in de catalogus: http://aleph.library.uu.nl/F?func=direct&doc_number=000977084). Ofschoon een exemplaar van het 'Defensorium' niet heel zeldzaam is, geldt dat in relatieve zin wel voor de tekst zelf. In geen enkel ander gedrukt werk uit de 15de eeuw komt deze tekst immers voor. De incunabel bevat verder nog de stukken van 'De Salute animae' door Johannes de Turrecremata (Juan de Torquemada, 1388-1468) en de 'Constantii imperatoris et Liberii pape pro defensione Athanasii dialogus' van Flavius Magnus Aurelius Cassiodorus (ca. 484/490-ca. 576/582). Turrecremata was een Spaans kardinaal en auteur op het terrein van de ecclesiastiek. Als vurig pleitbezorger van het pauselijk gezag komt het volgens hem superieure christelijk geloof in zijn publicaties zwaar tot uiting. Cassiodorus was tijdens zijn leven in dienst van Theodorik de Grote, koning van de Ostrogoten. Aan het hof schreef en redigeerde hij de overheidsdocumenten. Ook hield hij zich bezig met het uitdragen van ideeën over overheid, christelijk leven en Griekse cultuur. Aan het einde van zijn leven stichtte hij in Italië het klooster Vivarium, dat gewijd werd aan het kopiëren en verzamelen van christelijke kennis. In dit klooster compileerde of verzamelde hij de 'Historia Ecclesiastica Tripartita' op basis van drie afzonderlijke geschiedenissen uit de 5de eeuw: de kerkelijke historie van Socrates Scolasticus, de ecclesiastische historie van Sozomenus en de filosofisch-theologische historie van Theodorus Lector. De vertaling was van de hand van Epiphanius, een monnik die eveneens werkzaam was in Vivarium. Hoewel hun namen niet in de incunabel voorkomen, wordt de publicatie ervan op basis van de gebruikte lettertypen toegeschreven aan de Utrechtse drukkers Nicolaes Ketelaer en Gerard de Leempt. Het hier gedigitaliseerde exemplaar (MAG: E fol 207 (Rariora) dl 1) is gerubriceerd en heeft ingekleurde initialen. De incunabel zit in een oorspronkelijke kalfslerenband, afkomstig uit de binderij van het Utrechtse Regulierenklooster. Kenmerkend voor deze binderij zijn de twee stempels binnen een patroon van driedubbele filetlijnen."" (""Etliche Exemplare der Inkunabel „Defensorium fidei dialogos septem contra Judaeos, haereticos et Sarracenos continens“ aus dem Jahr 1474 sind erhalten. Der Incunable Short Title Catalog (ISTC) listet weltweit mindestens dreißig auf, zehn davon in den Niederlanden. Die Universitätsbibliothek Utrecht ist mit vier Exemplaren besonders stark vertreten, was aber angesichts der Utrechter Provenienz und der Tatsache, dass die dortigen Klosterbibliotheken 1580 beschlagnahmt wurden, nicht verwundern sollte (siehe die Provenienzen von Exemplaren der Inkunabel im Katalog : http: //aleph.library.uu.nl/F?func=direct&doc_number=000977084). Obwohl ein Exemplar des „Defensorium“ nicht sehr selten ist, gilt dies relativ gesehen auch für den Text selbst. Dieser Text erscheint in keinem anderen Druckwerk des 15. Jahrhunderts. Die Inkunabel enthält auch die Stücke von 'De Salute animae' von Johannes de Turrecremata (Juan de Torquemada, 1388-1468) und die 'Constantii imperatoris et Liberii pape pro defensione Athanasii dialogus' von Flavius ??Magnus Aurelius Cassiodorus (ca. 484/ 490) - etwa 576/582). Turrecremata war ein spanischer Kardinal und kirchlicher Autor. Als leidenschaftlicher Verfechter der päpstlichen Autorität glaubt er, dass sein überlegener christlicher Glaube in seinen Veröffentlichungen stark zum Ausdruck kommt. Cassiodorus stand zu Lebzeiten im Dienst von Theoderich dem Großen, dem König der Ostgoten. Am Hof ??schrieb und redigierte er Regierungsdokumente. Er war auch an der Verbreitung von Ideen über Regierung, christliches Leben und griechische Kultur beteiligt. Am Ende seines Lebens gründete er in Italien das Kloster Vivarium, das sich dem Kopieren und Sammeln christlichen Wissens widmete. In diesem Kloster erstellte oder sammelte er die „Historia Ecclesiastica Tripartita“ auf der Grundlage von drei getrennten Geschichten aus dem 5. Jahrhundert: der Kirchengeschichte von Socrates Scolasticus, der Kirchengeschichte von Sozomenus und der philosophisch-theologischen Geschichte von Theodorus Lector. Die Übersetzung stammt von Epiphanius, einem Mönch, der auch im Vivarium arbeitete. Obwohl ihre Namen nicht in der Inkunabel erscheinen, wird ihre Veröffentlichung aufgrund der verwendeten Schriften den Utrechter Druckern Nicolaes Ketelaer und Gerard de Leempt zugeschrieben. Das hier digitalisierte Exemplar (MAG: E fol 207 (Rariora) vol 1) ist klassifiziert und mit farbigen Initialen versehen. Die Inkunabel ist in einem Original-Kalbsledereinband aus der Buchbinderei des Utrechter Regulierenklosters. Charakteristisch für diese Buchbinderei sind die zwei Stempel innerhalb eines Musters aus dreifachen Kehllinien."")";History and Chronicles;Johannes de Turrecremata;118642928;(1) De Salute animae (Turrecremata). (2) Constantii imperatoris et Liberii pape pro defensione Athanasii dialogus (Cassiodorus). (3) Historia Ecclesiastica Tripartita (Cassiodorus);null;null;null;null;null;null;null;Utrecht;4062222-8;Niederlande;XA-NL;null;null;null;null;null
IDD-037;3894;ib00354600;null;null;null;435259;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”. Short Title Catalogue Netherlands, Reference: 102387753;De vita christiana;null;ff. [54];4°;Latein;Signaturen [a-f8 g6]. Bernhardin von Siena ist vermutlich nicht der Verfasser, sondern Bernhard von Clairvaux;Religious;Bernhardin von Siena;11850987X;De vita christiana;null;null;null;null;null;null;null;Utrecht;4062222-8;Niederlande;XA-NL;null;null;null;null;null
IDD-038;M39869;it00543000;null;null;null;435273;Schreckenberg III (1994) 382-387. Floerken 22-23;Contra principales errores Mahometi et Turcorum Sarracenorum. Add: Dionysius Carthusiensis: Dialogus Christiani contra Sarracenum. Samuel, Rabbi: Contra errores Judaeorum (tr: Alphonsus Boni Hominis). Nicolaus de Lyra: Quaestio de probatione per scripturas a Judaeis receptas. Prosper Aquitanus: Responsiones contra objectiones Vincentianos, Responsiones ad excerpta ..., Responsiones scilicet Augustini ad dulcitium de octo quaestionibus ab eo missis. Athanasius: Contra haereticos. Eusebius Caesariensis: Legenda S. Sylvestri;null;ff. (40);2°;Latein;"Sammelwerk, Signaturen: a12 b-c10 d8 ; 1. Antijüdische Schrift; Gosselin 116, Copinger 5259; mit Dionysius Carthusiensis (GND 118679716), Dialogus Christiani contra Sarracenum; mit Rabi Samuel (i.e. Alfonsus Bonihominis; GND 119061481) Epistola contra Judaeorum errores; mit Prosper Aquitanus (GND 1066971781), Responsiones contra objectiones Vincentianos, Responsiones ad excerpta ..., Responsiones scilicet Augustini ad dulcitium de octo quaestionibus ab eo missis; mit Athanasius (GND 118504843), Contra haereticos; mit Eusebius Caesariensis (GND 118531425), Legenda S. Sylvestri";Religious;Nicolaus de Lyra;119238683;(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;Brüssel;4008460-7;Belgien;XA-BE;null;null;null;null;null
IDD-039;M39866;is00109500.;null;null;null;435840;Schreckenberg III (1994) 391-393. Andrew Pettegree and Malcolm Walsby, Netherlandish Books (NB): Books published in the Low Countries and in the Dutch language abroad before 1601, Reference: 27330;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;ff. [20];4°;Latein;Ausstattung: mit Rubrikationen (GW-MS);Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Antwerpen;4002364-3;Belgien;XA-BE;null;null;null;null;null
IDD-040;13399;ih00358500;null;null;null;435865;Schreckenberg III (1994) 151. Andrew Pettegree and Malcolm Walsby, Netherlandish Books (NB): Books published in the Low Countries and in the Dutch language abroad before 1601, Reference: 15689;Horae ad usum Romanum;null;ff. (160);8°;Latein;"Judenfeindlicher Druck?; Signaturen a-b8 ( ) a-s8; Sammelwerk;";Religious;Petrus de Riga;10095815X;(1) Aurora? (2) Versus;null;null;null;null;null;null;null;Antwerpen;4002364-3;Belgien;XA-BE;null;null;null;null;null
IDD-041;3893;ib00354500;null;null;null;435890;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Tractatus diversi;null;ff. [56];4°;Latein;Signaturen a-d6 e4 f-i6 k4. Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Bernhardin von Siena;11850987X;Tractatus diversi;null;null;null;null;null;null;null;Antwerpen;4002364-3;Belgien;XA-BE;null;null;null;null;null
IDD-042;null;null;null;null;null;501831;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”. English Short Title Catalogue, Reference: S111325;Quadragesimale de christiana Religiouse;(1) Quadragesimale de christiana Religiouse (Auszug: Sermo 42). (2)The churche of yvell men and women wherof Lucyfere is heed. And the membres is all the players dissolute, and synners reproved;pp. [148];4°;Englisch;Signaturen A-H8 I10. Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Bernhardin von Siena;11850987X;Quadragesimale de christiana Religiouse;null;null;null;null;null;null;null;London;4074335-4;Großbritannien;XA-GB;null;null;null;null;null
